dataset,backbone,model,lambda_dp,lambda_eo,AUC_mean,AUC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
bail,gin,edge_adder,0.0,5.0,0.8594414272835527,0.01374507114973574,0.7355664161908374,0.03148213754284299,0.11839008218476905,0.018220171380332887,0.06705635628765347,0.006930512063394348
bail,gin,edge_adder,0.0,10.0,0.8420405688563181,0.012533479472499455,0.71869453544951,0.015667813289659084,0.11256944584230763,0.01756256090547421,0.07391519865782048,0.014263278209626267
bail,gin,edge_adder,0.1,0.0,0.8581716846816235,0.01486792819330351,0.7447011058976298,0.028345599531157253,0.10734008764841714,0.015973672077099443,0.06310607793792421,0.008646311670244974
bail,gin,edge_adder,0.5,0.0,0.8607618513008422,0.01132459112276852,0.7457652714098765,0.022942195052468174,0.11420156691674839,0.0167768621529011,0.06847860901395561,0.01063005704826563
bail,gin,edge_adder,1.0,0.0,0.8594684707643424,0.007243278966548433,0.736986888370425,0.01897677785297082,0.11998913381049195,0.013886142932996613,0.07355830092274843,0.00870533148683077
bail,gin,edge_adder,5.0,0.0,0.8563481294750408,0.01144435407953173,0.7143970576651644,0.02756232781490534,0.13338574721138277,0.01932717020975222,0.07857164645771372,0.012826316539758117
bail,gin,edge_adder,10.0,0.0,0.8434332650693508,0.014289915497662687,0.7042508457985894,0.016944195123024364,0.1418221050573252,0.01372034067926517,0.09462060550598642,0.009785845525928226
bail,sage,vanilla,0.0,0.0,0.921214371864219,0.004504590942519672,0.8148239027316644,0.03063416309419061,0.03356572409152473,0.028124062405298092,0.02005338213986122,0.012224566259874958
bail,sage,edge_adder,0.0,0.1,0.9182595726460405,0.005844371789883073,0.8341640776010057,0.007118261302021447,0.021178232107271537,0.010615382973441414,0.015557843361549617,0.008868220203777
bail,sage,edge_adder,0.0,0.5,0.9158578016089484,0.007763918594048244,0.8301311125592926,0.022220977228096295,0.028011458563980757,0.022106227737794852,0.01901319301456571,0.013919418449783026
bail,sage,edge_adder,0.0,1.0,0.9163742297343216,0.006498040041256573,0.8288481457854886,0.014003333187095313,0.028899175564265432,0.024051823196764414,0.022859757492564636,0.018260123919727395
bail,sage,edge_adder,0.0,5.0,0.9180529439990449,0.004853371185724439,0.828232024499262,0.015364347651081084,0.026730215123952926,0.010869477196137317,0.014371997254632818,0.007243295745763215
