dataset,encoder,attack_mode,AUC_mean_clean,AUC_mean_attacked,AUC_mean_defended,F1_mean_clean,F1_mean_attacked,F1_mean_defended,DP_mean_clean,DP_mean_attacked,DP_mean_defended,EO_mean_clean,EO_mean_attacked,EO_mean_defended
german,gat,degree,0.566487619047619,0.5358552380952382,0.5056685714285714,0.5521472116887732,0.5368168311967758,0.4324450987755934,0.0612656846699399,0.1408210583742498,0.0985542825968357,0.0763655462184873,0.1932773109243697,0.1272058823529411
german,gat,uncertainty,0.566487619047619,0.5735657142857142,0.5717257142857143,0.5521472116887732,0.590143332592707,0.5963983984308855,0.0612656846699399,0.1928259683578832,0.1243862520458265,0.0763655462184873,0.1826680672268907,0.113235294117647
german,gcn,degree,0.7426971428571428,0.7360685714285714,0.7227428571428571,0.7603773916005582,0.6564605699808375,0.6697706422772004,0.320430987452264,0.25740589198036,0.1642253136933988,0.2581932773109243,0.2170168067226891,0.1158613445378151
german,gcn,uncertainty,0.7426971428571428,0.7360228571428571,0.7079619047619048,0.7603773916005582,0.6745598108747133,0.5763579109009935,0.320430987452264,0.255646481178396,0.1829650845608292,0.2581932773109243,0.1977941176470588,0.1361344537815125
german,gin,degree,0.6833980952380952,0.6813866666666666,0.6555276190476191,0.6241708656045063,0.6853185646965342,0.6966914037009743,0.2503818876159301,0.2896481178396072,0.1424577195853791,0.228781512605042,0.2626050420168067,0.1285714285714285
german,gin,uncertainty,0.6833980952380952,0.6806704761904763,0.6782323809523809,0.6241708656045063,0.6221709338669876,0.6403876294679931,0.2503818876159301,0.2199399890889252,0.1675259138025095,0.228781512605042,0.203781512605042,0.1498949579831932
german,sage,degree,0.6255085714285715,0.6586438095238095,0.6229409523809525,0.5717136659433394,0.5899233583331951,0.5598197024091027,0.0828423349699945,0.1114975450081833,0.096481178396072,0.0503151260504201,0.0973739495798319,0.0888655462184874
german,sage,uncertainty,0.6255085714285715,0.6055238095238095,0.6201142857142857,0.5717136659433394,0.4756987764982993,0.5133278570805337,0.0828423349699945,0.069899072558647,0.1052782324058919,0.0503151260504201,0.0570378151260504,0.0980042016806722
german,sgc,degree,0.6979123809523808,0.6878933333333332,0.6401980952380952,0.6348553159630883,0.5729335110437918,0.6241864854177427,0.2471085651936716,0.209683578832515,0.1052100381887615,0.1836134453781512,0.1821428571428571,0.0755252100840336
german,sgc,uncertainty,0.6979123809523808,0.6808990476190477,0.6139885714285713,0.6348553159630883,0.6007741295682549,0.5769352116284769,0.2471085651936716,0.2216721222040371,0.0725177304964539,0.1836134453781512,0.1762605042016806,0.0505252100840336
nba,gat,degree,0.6394871794871795,0.6035897435897436,0.6383333333333333,0.590631429891868,0.5543148384321667,0.619222592977051,0.1383572567783094,0.1726475279106858,0.1175438596491228,0.2133333333333333,0.2566666666666667,0.1433333333333333
nba,gat,uncertainty,0.6394871794871795,0.6505769230769232,0.6512179487179488,0.590631429891868,0.6384537727709338,0.6324386478128154,0.1383572567783094,0.1175438596491228,0.0653110047846889,0.2133333333333333,0.1566666666666666,0.1466666666666666
nba,gcn,degree,0.6726282051282052,0.6693589743589744,0.673653846153846,0.6028538914465907,0.597263542207106,0.622275608742299,0.3,0.3893141945773525,0.3282296650717703,0.2799999999999999,0.37,0.2533333333333333
nba,gcn,uncertainty,0.6726282051282052,0.6755128205128205,0.681923076923077,0.6028538914465907,0.5970617774499754,0.6579375784222249,0.3,0.3389154704944178,0.2248803827751196,0.2799999999999999,0.2766666666666666,0.14
nba,gin,degree,0.6063461538461539,0.5817948717948718,0.6022435897435897,0.57492207270038,0.4946278982425614,0.4914797807191702,0.0854066985645933,0.0814194577352472,0.0779904306220095,0.1566666666666666,0.1166666666666666,0.1066666666666666
nba,gin,uncertainty,0.6063461538461539,0.5877564102564102,0.611474358974359,0.57492207270038,0.5002683927982048,0.5473599643200311,0.0854066985645933,0.0827751196172249,0.0557416267942583,0.1566666666666666,0.1033333333333333,0.1733333333333333
nba,sage,degree,0.6378846153846154,0.6311538461538462,0.6340384615384616,0.5751761734175085,0.5323641192231129,0.5491682593651828,0.069377990430622,0.0761562998405103,0.0715311004784689,0.0566666666666666,0.1233333333333333,0.0866666666666666
nba,sage,uncertainty,0.6378846153846154,0.6315384615384615,0.6471153846153845,0.5751761734175085,0.5538704048582498,0.547754029986927,0.069377990430622,0.0700956937799043,0.0814194577352472,0.0566666666666666,0.0799999999999999,0.1466666666666666
nba,sgc,degree,0.6825641025641026,0.6651923076923076,0.6691666666666667,0.5794754751968985,0.5573941537502453,0.6141863892656575,0.2923444976076556,0.3859649122807017,0.3534290271132376,0.1866666666666666,0.2766666666666666,0.2366666666666667
nba,sgc,uncertainty,0.6825641025641026,0.6896153846153846,0.6819230769230769,0.5794754751968985,0.603861217183499,0.6382540963476332,0.2923444976076556,0.3038277511961723,0.2554226475279106,0.1866666666666666,0.2033333333333333,0.1166666666666666
pokec_n,gat,degree,0.7556281214937497,0.7522355190822767,0.7487288135593222,0.672946344310918,0.6524701159435797,0.6674871965699842,0.0111038584479363,0.0161517120176006,0.0287127020901677,0.0112703946450983,0.0319413510767575,0.0210952845787596
pokec_n,gat,uncertainty,0.7556281214937497,0.7509871284408831,0.7502332121970352,0.672946344310918,0.6638167652739554,0.6648510577361076,0.0111038584479363,0.0162979481188677,0.0221592516745714,0.0112703946450983,0.0319062892204713,0.018537362790605
pokec_n,gcn,degree,0.7548425145380107,0.7569472163474427,0.7527131552033997,0.6294498512790485,0.6757775859879745,0.666208018221759,0.0155691021607644,0.0362878441941186,0.041153696383598,0.0259330238858896,0.0497025718668446,0.0444480745861306
pokec_n,gcn,uncertainty,0.7548425145380107,0.7564721866425719,0.7563260204740202,0.6294498512790485,0.6526844048451306,0.6439904565891829,0.0155691021607644,0.0282271160578631,0.0437406559707004,0.0259330238858896,0.0448353487260194,0.0488316034822798
