dataset,encoder,attack_mode,selected,AUC_mean_clean,AUC_mean_attacked,AUC_mean_defended,F1_mean_clean,F1_mean_attacked,F1_mean_defended,DP_mean_clean,DP_mean_attacked,DP_mean_defended,EO_mean_clean,EO_mean_attacked,EO_mean_defended
german,gat,degree,0,0.566487619047619,0.5358552380952380,0.521512380952381,0.5521472116887730,0.5368168311967760,0.4768329148201100,0.0612656846699399,0.1408210583742500,0.103709765411893,0.0763655462184873,0.1932773109243700,0.1310924369747900
german,gat,uncertainty,1,0.566487619047619,0.5735657142857140,0.5421257142857140,0.5521472116887730,0.590143332592707,0.6109264395243990,0.0612656846699399,0.1928259683578830,0.0931942171303873,0.0763655462184873,0.1826680672268910,0.0911764705882352
german,gcn,degree,0,0.7426971428571430,0.7360685714285710,0.7185066666666670,0.7603773916005580,0.6564605699808380,0.6925130109252130,0.320430987452264,0.25740589198036,0.0940534642662302,0.2581932773109240,0.2170168067226890,0.0410714285714285
german,gcn,uncertainty,1,0.7426971428571430,0.7360228571428570,0.7046019047619050,0.7603773916005580,0.6745598108747130,0.6835623950473620,0.320430987452264,0.255646481178396,0.0799781778505182,0.2581932773109240,0.1977941176470590,0.0311974789915966
german,gin,degree,1,0.6833980952380950,0.6813866666666670,0.6599009523809530,0.6241708656045060,0.6853185646965340,0.7090121337543630,0.2503818876159300,0.2896481178396070,0.1550600109110750,0.228781512605042,0.2626050420168070,0.1223739495798320
german,gin,uncertainty,0,0.6833980952380950,0.6806704761904760,0.6640000000000000,0.6241708656045060,0.6221709338669880,0.6955543083157340,0.2503818876159300,0.2199399890889250,0.1548145117294050,0.228781512605042,0.203781512605042,0.1387605042016810
german,sage,degree,1,0.6255085714285720,0.6586438095238100,0.6035047619047620,0.5717136659433390,0.5899233583331950,0.4892229740227670,0.0828423349699945,0.1114975450081830,0.0458947081287506,0.0503151260504201,0.0973739495798319,0.0385504201680672
german,sage,uncertainty,1,0.6255085714285720,0.6055238095238100,0.6292342857142860,0.5717136659433390,0.4756987764982990,0.5541927935384920,0.0828423349699945,0.069899072558647,0.0916803055100927,0.0503151260504201,0.0570378151260504,0.0826680672268907
german,sgc,degree,0,0.6979123809523810,0.6878933333333330,0.6651657142857140,0.6348553159630880,0.5729335110437920,0.6869785453255730,0.2471085651936720,0.209683578832515,0.1275231860338240,0.1836134453781510,0.1821428571428570,0.0798319327731092
german,sgc,uncertainty,0,0.6979123809523810,0.6808990476190480,0.6682209523809520,0.6348553159630880,0.6007741295682550,0.6436134478913450,0.2471085651936720,0.2216721222040370,0.1726268412438630,0.1836134453781510,0.1762605042016810,0.1097689075630250
