dataset,encoder,model,attack_mode,AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std
nba,gcn,vanilla,tuned_nifa,0.698397435897436,0.022423531390623978,0.6086508504020798,0.057974036556767396,0.6316455696202532,0.045092438305207275,0.28580542264752795,0.06293902274692115,0.28,0.06863753427324668
nba,gin,vanilla,none,0.6063461538461539,0.0111562405328626,0.57492207270038,0.0703921218308164,0.5683544303797469,0.0327405497629811,0.0854066985645933,0.063160160173956,0.1566666666666666,0.0715697018452796
nba,gin,vanilla,tuned_nifa,0.5630128205128205,0.037627768310922786,0.4770802931673247,0.15956959047366132,0.5379746835443038,0.030088264111404344,0.08564593301435408,0.07080261998252958,0.11333333333333329,0.07180219742846004
nba,sage,vanilla,none,0.6378846153846154,0.0187272763903174,0.5751761734175085,0.0350280968097535,0.5746835443037974,0.0162104411074249,0.069377990430622,0.0452989867333081,0.0566666666666666,0.0578311719096582
nba,sage,vanilla,tuned_nifa,0.6224358974358974,0.017771561618689122,0.5715688388750342,0.03568154724846724,0.5759493670886076,0.017217051276880304,0.04593301435406698,0.037160057758025486,0.06999999999999998,0.06574360974438673
nba,sgc,vanilla,none,0.6825641025641026,0.0027764625420138,0.5794754751968985,0.0164319042886373,0.589873417721519,0.0171704556534816,0.2923444976076556,0.0350608857812209,0.1866666666666666,0.065319726474218
nba,sgc,vanilla,tuned_nifa,0.6811538461538462,0.02184233143398518,0.6086371928826662,0.0474611389190242,0.6215189873417721,0.027413174465452807,0.31020733652312604,0.05939570386098652,0.2033333333333333,0.052599112793531674
pokec_n,gat,vanilla,none,0.7556281214937497,0.00438513496165,0.672946344310918,0.0117440293331574,0.6910000000000001,0.0105818338019253,0.0111038584479363,0.008924661296802,0.0112703946450983,0.0083455432421066
pokec_n,gat,vanilla,tuned_nifa,0.7510702027874587,0.007123391407540865,0.6751208704659344,0.009423148028884906,0.6735454545454546,0.01274479313547756,0.033920985814351115,0.02609497130400993,0.024120564974002435,0.019090036515634498
pokec_n,gcn,vanilla,none,0.7548425145380107,0.0113039678216091,0.6294498512790485,0.0868458433430109,0.6826818181818182,0.0269346086011263,0.0155691021607644,0.0135130528937317,0.0259330238858896,0.0146343308046904
pokec_n,gcn,vanilla,tuned_nifa,0.7528746702676582,0.015364216637402459,0.6251026496624551,0.06402269726207606,0.6823181818181818,0.023718781134628258,0.02938514536298022,0.022466959317289908,0.02973086040998469,0.03347095356195526
pokec_n,gin,vanilla,none,0.6987033286004124,0.0104955556973937,0.6243562003189816,0.0152391429747249,0.6372272727272728,0.0211218914285785,0.022133291498229,0.0214275262777281,0.0169771101858676,0.0146532030463013
pokec_n,gin,vanilla,tuned_nifa,0.680372196240803,0.009611162748785533,0.619033950567308,0.009628677699958984,0.6354545454545455,0.009506413667963657,0.03628298833379557,0.019601414919248203,0.03670538079964938,0.025742060088651257
pokec_n,sage,vanilla,none,0.7331814165003524,0.0060958827522641,0.6705415825026046,0.0079454608348464,0.6567272727272727,0.0206303555531147,0.0139346382524132,0.0127810170262847,0.0227918003067912,0.0137582631216406
pokec_n,sage,vanilla,tuned_nifa,0.7282869391240455,0.007263485500347212,0.6533313033493368,0.020257901974171894,0.6595454545454545,0.01950948063662239,0.02389270042796938,0.00960000175190518,0.037189871904695505,0.013991379063488175
pokec_n,sgc,vanilla,none,0.7550988948795091,0.0008759590407647,0.6740779410554911,0.0123396104816454,0.7001363636363636,0.0054623050866373,0.0123154889804654,0.0063127510050203,0.0195103293025479,0.0080059782131513
pokec_n,sgc,vanilla,tuned_nifa,0.7517819612827209,0.003092963510195433,0.6738913621067943,0.0076435452845561675,0.6775454545454546,0.03507324095952582,0.05228118045964453,0.019126683797277402,0.03050022909735641,0.020107445410568813
pokec_z,gat,vanilla,none,0.7878080146553699,0.0025949739858483,0.6936801359779244,0.0290215243026834,0.7108729540140296,0.0071039841504676,0.0375466074109146,0.0099681419399851,0.0396,0.0132296512981026
pokec_z,gat,vanilla,tuned_nifa,0.7794043813449354,0.005030784389592714,0.7033864945861952,0.01676640829296686,0.7010132501948558,0.017467429247490483,0.06929345048181165,0.015975915137921685,0.06217142857142858,0.01783150159071277
pokec_z,gcn,vanilla,none,0.7787202503625676,0.0071291542410892,0.6887748662048212,0.0362277901952453,0.7083787996882307,0.0135550752520084,0.0487311754483188,0.0078620849788459,0.0295714285714285,0.0067808253064604
pokec_z,gcn,vanilla,tuned_nifa,0.7774913060071751,0.003304595281345135,0.6981390353947076,0.021207275080121248,0.6997272018706158,0.008763313606276892,0.09002682111900831,0.017984084169587817,0.06831428571428572,0.015338067887795133
pokec_z,gin,vanilla,none,0.7185193801999847,0.010580137717478,0.64653070532858,0.0272425561986309,0.6524551831644583,0.0128377890886333,0.0494612909647532,0.0144985551898014,0.0484571428571428,0.0166868884127017
pokec_z,gin,vanilla,tuned_nifa,0.6964663460804518,0.015257449018525854,0.6447780688767916,0.042343222736059546,0.6295401402961808,0.02726210314804721,0.05861208107133824,0.04108879739763556,0.05931428571428571,0.04164401125575425
pokec_z,sage,vanilla,none,0.760128967254408,0.0128567123866877,0.6743669287193503,0.0522286717901814,0.6729540140296181,0.0380717730296522,0.0309201500045733,0.0212308904225817,0.0395428571428571,0.015829809131599
pokec_z,sage,vanilla,tuned_nifa,0.752883352415846,0.021201068165893566,0.6217996516734429,0.09443131956957371,0.657950116913484,0.033374448421190056,0.04367834026503677,0.021378300963404966,0.04062857142857142,0.023795317666657514
pokec_z,sgc,vanilla,none,0.7743172276925425,0.0012605467081941,0.7107105934132546,0.0114257355998217,0.7052611067809821,0.0105927745837863,0.0332207940342514,0.004350509116461,0.0308571428571428,0.0109402831735914
pokec_z,sgc,vanilla,tuned_nifa,0.766245080528204,0.0020799393253809004,0.6989456033027228,0.007259280151083937,0.6999220576773187,0.004490993075880904,0.12385411678620048,0.016144731296196736,0.10482857142857141,0.018135746638130137
