dataset,encoder,model,attack_mode,AUC_mean,AUC_std,ACC_mean,ACC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
nba,sgc,edge_adder,degree,0.6791666666666666,0.021533596062173095,0.6088607594936709,0.04099780947013077,0.6170352353241161,0.03993768972239671,0.4136363636363637,0.096470169186293,0.3033333333333334,0.12423096769056148
nba,sgc,edge_adder,ratio,0.9942755255255254,4.940060273086786,1.025586353944563,2.8516281219220065,1.0322855774615844,1.031193785275273,1.693437806072478,2.04986700628112,2.3333333333333335,2.577970716349212
pokec_n,gat,edge_adder,none,0.7562340512148382,0.004065568398485343,0.6931818181818181,0.010323286682732611,0.6691808506093845,0.016713082598051394,0.023681283740058325,0.012594908275600475,0.031023367930354408,0.01723036146180294
pokec_n,gat,edge_adder,degree,0.7505012593541383,0.004800451769719312,0.6905909090909091,0.007748766897368392,0.6567236793862001,0.01352661374481513,0.023766728205358068,0.019852738353713248,0.030282686216307742,0.024790570170003308
pokec_n,gat,edge_adder,ratio,0.9924192889073289,1.1807578422509764,0.9962622950819674,0.7506104533868535,0.9813844475498061,0.8093428405835928,1.0036081010741496,1.5762511261930368,0.9761250385287165,1.4387724961522246
pokec_n,gcn,edge_adder,none,0.759523762241882,0.0018083923382016763,0.7035909090909092,0.005383821801479208,0.6561418386733615,0.021723096707105177,0.012286540582385735,0.009163445448668917,0.018831005837002212,0.013531351013167988
pokec_n,gcn,edge_adder,degree,0.7494157076709727,0.011132953583180238,0.685590909090909,0.015045454545454534,0.6459438933798646,0.026013383540581005,0.030358185066175113,0.0187497892364626,0.043816164312608305,0.024050714084527705
pokec_n,gcn,edge_adder,ratio,0.986691588764684,6.156271152006321,0.974416951999483,2.7945677067767707,0.9844577122011974,1.197498859914966,2.4708488823694847,2.046150581841047,2.326809555043056,1.7774067098786244
pokec_n,gin,edge_adder,none,0.689573838531272,0.013287937604363878,0.6444090909090909,0.014681255266439139,0.6144650611379492,0.00943268177583541,0.020520772343260763,0.018820551301349412,0.029171065999960173,0.024978812814103815
pokec_n,gin,edge_adder,degree,0.670756009651187,0.01685488455194592,0.6172727272727272,0.03010450118728988,0.60593430840703,0.028412536121768014,0.04671374983541436,0.039417674681405716,0.05042651951311833,0.0534669933199119
pokec_n,gin,edge_adder,ratio,0.9727109298111349,1.2684349561071557,0.9578895393947943,2.050540000902223,0.9861167814568321,3.0121376716593034,2.2764128490882873,2.094395326165579,1.7286485009902337,2.14049377437677
pokec_n,sage,edge_adder,none,0.7223476611758164,0.00817616218803642,0.6546363636363636,0.010491633817727799,0.6588365508583757,0.008465408933679013,0.043431001493177045,0.017066082015372463,0.047637906647807635,0.027315836113823933
