method,dataset,encoder,model,timestamp,n_seeds,AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std,name
vanilla,nba,gcn,vanilla,20260205-171938,10,0.7158974358974358,0.019008977428564743,0.696535868080185,0.035990154367132474,0.6810126582278482,0.0264311557187609,0.5111642743221692,0.06132163808138153,0.3366666666666667,0.1015983376941878,vanilla_nba_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005602617956493825
vanilla,nba,gin,vanilla,20260205-171101,10,0.6067307692307693,0.06107750032020705,0.5523898722791266,0.20129611937040245,0.5291139240506328,0.04960991884117828,0.11244019138755983,0.08478340490793307,0.07333333333333333,0.048989794855663564,vanilla_nba_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0381397720513228
vanilla,nba,sage,vanilla,20260205-170704,10,0.6527564102564102,0.01828676621331488,0.5647903304343407,0.0682197940378045,0.5860759493670886,0.03883002949412146,0.09433811802232857,0.08049412713423283,0.08666666666666666,0.07483314773547882,vanilla_nba_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0006778779553232976
vanilla,nba,sgc,vanilla,20260205-171504,10,0.7345512820512822,0.01319781350807093,0.6533159812316833,0.027377816193238817,0.6670886075949367,0.01503081276840242,0.4754385964912281,0.04190026700539852,0.41000000000000003,0.09666666666666665,vanilla_nba_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.005422777365223869
vanilla,pokec_n,gat,vanilla,20260205-133152,10,0.6978147061451849,0.03736573242364927,0.6366607646826397,0.034049192323033106,0.6526363636363637,0.02109972386329828,0.2960558274526063,0.207131386732,0.2673187640695659,0.1746400900473194,vanilla_pokec_n_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.005893711998150697
vanilla,pokec_n,gcn,vanilla,20260205-153104,10,0.7411209741211826,0.00947701916092795,0.6564861575843743,0.008464438608785544,0.6857272727272727,0.00813674453146022,0.2212697887980905,0.10265342699770529,0.20972926668924438,0.08524314963041422,vanilla_pokec_n_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.012987273520401443
vanilla,pokec_n,gin,vanilla,20260205-152306,10,0.6296005729151152,0.03166013185270735,0.579014837435815,0.06127109255791187,0.6005454545454545,0.04160856555173137,0.35308267755873485,0.10747814167276842,0.34495886208339144,0.11851256529922123,vanilla_pokec_n_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.026249028382697385
vanilla,pokec_n,sage,vanilla,20260205-150951,10,0.6821730643842734,0.013335517713308691,0.6557444727317503,0.015800942791594802,0.6298636363636364,0.017377731071405222,0.2878119773530145,0.15185755563386621,0.24667609618104672,0.12798326128490758,vanilla_pokec_n_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.002106183402786513
vanilla,pokec_n,sgc,vanilla,20260205-153633,10,0.7251536544438156,0.009935592639759128,0.6560565305676664,0.012366433173123798,0.6675909090909091,0.0166825612913506,0.30121396508076137,0.04007279683934522,0.2867306811164014,0.0477175612349621,vanilla_pokec_n_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.010611927763057845
vanilla,pokec_z,gat,vanilla,20260205-130151,10,0.7057475307228456,0.02046200877638245,0.6665681144970745,0.035563286875590225,0.6615744349181606,0.01109850507331414,0.40604591603402546,0.10325199424644131,0.3336571428571429,0.09749413797134425,vanilla_pokec_z_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0038518302623594828
vanilla,pokec_z,gcn,vanilla,20260205-135318,10,0.755811983818029,0.004945769318200448,0.6813599752763912,0.02643611395855784,0.6696414653156664,0.03113161652577751,0.31374051038141404,0.06822327566146942,0.2624857142857143,0.06965185143385111,vanilla_pokec_z_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.011782659818013594
vanilla,pokec_z,gin,vanilla,20260205-134451,10,0.6632395084344707,0.014975807316255625,0.5898571937892116,0.04453005674617729,0.6247466874512859,0.0140593021900683,0.3902316785124367,0.03586884536147311,0.38079999999999997,0.02836836409863376,vanilla_pokec_z_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.04606907413160195
vanilla,pokec_z,sage,vanilla,20260205-134321,10,0.698961270132051,0.024151282378396165,0.6146517902528592,0.1082099343713505,0.6157833203429462,0.03901885234670617,0.2848408219045415,0.06641193773673801,0.2604,0.07380594522814816,vanilla_pokec_z_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.04962229670358684
vanilla,pokec_z,sgc,vanilla,20260205-134241,10,0.7409415464468361,0.004446689766932295,0.6809167564941052,0.010175581134372735,0.6806313328137177,0.003986694567045041,0.3710056171009518,0.02688378650092572,0.2942,0.028550864027813476,vanilla_pokec_z_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.004480876840832734
