dataset,encoder,model,attack_mode,AUC_mean,AUC_std,ACC_mean,ACC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
bail,sgc,fairinv,ratio,1.0104049471457932,1.8170145656841907,1.0085574865988798,1.8514688122025778,1.012900107257651,2.240046469994635,1.0558259788090567,1.0407287557808613,0.793094938980618,1.0716325497510208
german,gat,fairinv,none,0.4967847619047618,0.0571444855640987,0.7,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0
german,gat,fairinv,uncertainty,0.48792380952380954,0.030526767555949384,0.65,0.12041594578792296,0.7297537619699042,0.2456236540553615,0.006042007637752311,0.018126022913256934,0.0027310924369747915,0.008193277310924375
german,gat,fairinv,ratio,0.7534129317809665,0.27960201835375365,1.0794770565011975,1.5910556934298707,1.130931823259353,1.7392484241226274,0.23951915485081104,0.7267873028793993,0.129699098092426,0.3667196783964198
german,gcn,fairinv,none,0.5444914285714286,0.0734494080991356,0.7,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0
german,gcn,fairinv,uncertainty,0.5058819047619048,0.012343658998057179,0.7,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0
german,gcn,fairinv,ratio,0.6479885864177201,2.1866312286940413,0.9889335462203378,0.0,1.156161096446249,0.0,0.0,0.0,0.0,0.0
german,gin,fairinv,none,0.6812723809523809,0.0160794778855003,0.7132,0.0232585468161706,0.8225109130858812,0.0258623976209414,0.0220812875068194,0.0206138338622844,0.0241596638655462,0.0220788224669096
german,gin,fairinv,uncertainty,0.6781180952380952,0.025471469860821702,0.712,0.029933259094191533,0.8182183766620655,0.026972060894621515,0.056246590289143486,0.04819424615576421,0.03792016806722688,0.031066342956855175
german,gin,fairinv,ratio,0.9102870553729906,2.0775462653339796,1.0788898074878939,1.1444072814596156,1.1915371909242267,0.9699421775320751,1.4814829667405465,2.6992606247528226,1.1978392440008512,2.378651150131228
german,sage,fairinv,none,0.7202895238095237,0.0207424230135164,0.7156,0.0133206606442773,0.8261443356077928,0.0054309089046316,0.072013093289689,0.0635784308618493,0.0392857142857142,0.0368102958627819
german,sage,fairinv,uncertainty,0.7184228571428571,0.023865991401536852,0.7087999999999999,0.011973303637676623,0.8197065667622558,0.00991821943892074,0.08488816148390618,0.07585350889407082,0.05724789915966385,0.060433859232330626
german,sage,fairinv,ratio,0.914615213621838,6.991841790149537,0.9975761298815269,3.444476776442118,1.1634276994042796,0.8473086849593202,1.4894947421569418,6.943488757716556,1.102132272050735,4.9254858305734635
