dataset,encoder,attack_mode,AUC_mean_clean,AUC_mean_attacked,AUC_mean_defended,F1_mean_clean,F1_mean_attacked,F1_mean_defended,DP_mean_clean,DP_mean_attacked,DP_mean_defended,EO_mean_clean,EO_mean_attacked,EO_mean_defended
nba,gat,tuned_nifa,0.6394871794871795,0.6664743589743589,0.7583333333333333,0.590631429891868,0.5601620248252475,0.7179462953143135,0.1383572567783094,0.2145135566188198,0.0939393939393939,0.2133333333333333,0.1699999999999999,0.0733333333333333
nba,gcn,tuned_nifa,0.6726282051282052,0.698397435897436,0.687948717948718,0.6028538914465907,0.6086508504020798,0.6374853445294106,0.3,0.2858054226475279,0.4293460925039872,0.2799999999999999,0.28,0.3833333333333333
nba,gin,tuned_nifa,0.6063461538461539,0.5630128205128205,0.6021153846153846,0.57492207270038,0.4770802931673247,0.536396228314296,0.0854066985645933,0.085645933014354,0.0635566188197766,0.1566666666666666,0.1133333333333332,0.12
nba,sage,tuned_nifa,0.6378846153846154,0.6224358974358974,0.6276923076923078,0.5751761734175085,0.5715688388750342,0.5764243622695441,0.069377990430622,0.0459330143540669,0.0984848484848484,0.0566666666666666,0.0699999999999999,0.0866666666666666
nba,sgc,tuned_nifa,0.6825641025641026,0.6811538461538462,0.6780128205128205,0.5794754751968985,0.6086371928826662,0.6159457960374166,0.2923444976076556,0.310207336523126,0.386682615629984,0.1866666666666666,0.2033333333333333,0.2866666666666667
pokec_n,gat,tuned_nifa,0.7556281214937497,0.7510702027874587,0.7483455462552004,0.672946344310918,0.6751208704659344,0.6595784482247937,0.0111038584479363,0.0339209858143511,0.028806084019457,0.0112703946450983,0.0241205649740024,0.0273398808693746
pokec_n,gcn,tuned_nifa,0.7548425145380107,0.7528746702676582,0.7554540294367824,0.6294498512790485,0.6251026496624551,0.6600658060329356,0.0155691021607644,0.0293851453629802,0.0676006727234186,0.0259330238858896,0.0297308604099846,0.0449867521963464
pokec_n,gin,tuned_nifa,0.6987033286004124,0.680372196240803,0.6773384932100788,0.6243562003189816,0.619033950567308,0.6088834298234385,0.022133291498229,0.0362829883337955,0.0312691257863925,0.0169771101858676,0.0367053807996493,0.04075980636293
pokec_n,sage,tuned_nifa,0.7331814165003524,0.7282869391240455,0.7276232545285448,0.6705415825026046,0.6533313033493368,0.6576045865851488,0.0139346382524132,0.0238927004279693,0.0562045288368066,0.0227918003067912,0.0371898719046955,0.067421160627129
pokec_n,sgc,tuned_nifa,0.7550988948795091,0.7517819612827209,0.7451505350186505,0.6740779410554911,0.6738913621067943,0.6515361246154061,0.0123154889804654,0.0522811804596445,0.0655189093737714,0.0195103293025479,0.0305002290973564,0.0563583481084527
pokec_z,gat,tuned_nifa,0.7878080146553699,0.7794043813449354,0.7763859247385696,0.6936801359779244,0.7033864945861952,0.68927432901428,0.0375466074109146,0.0692934504818116,0.0269054562280413,0.0396,0.0621714285714285,0.0273428571428571
pokec_z,gcn,tuned_nifa,0.7787202503625676,0.7774913060071751,0.7687496221662468,0.6887748662048212,0.6981390353947076,0.672140116820593,0.0487311754483188,0.0900268211190083,0.0932520808561236,0.0295714285714285,0.0683142857142857,0.0959428571428571
pokec_z,gin,tuned_nifa,0.7185193801999847,0.6964663460804518,0.7010421189222197,0.64653070532858,0.6447780688767916,0.6415899943792904,0.0494612909647532,0.0586120810713382,0.0706794324791107,0.0484571428571428,0.0593142857142857,0.0624
pokec_z,sage,tuned_nifa,0.760128967254408,0.752883352415846,0.7464038775665979,0.6743669287193503,0.6217996516734429,0.6441066383302215,0.0309201500045733,0.0436783402650367,0.0506589601906801,0.0395428571428571,0.0406285714285714,0.0534285714285714
pokec_z,sgc,tuned_nifa,0.7743172276925425,0.766245080528204,0.7651622318906954,0.7107105934132546,0.6989456033027228,0.7052985352240453,0.0332207940342514,0.1238541167862004,0.0928086042795422,0.0308571428571428,0.1048285714285714,0.0815428571428571
