AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std,name,dataset,encoder,attack_mode
0.6300451116870049,0.0245397259626627,0.5947515760478554,0.0370545075842827,0.5937272727272728,0.0301132847320808,0.3518827197673669,0.166748536949867,0.3316572703548021,0.1702585168031772,vanilla_pokec_n_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.026249028382697385,pokec_n,gin,tuned_nifa
0.6924816475198501,0.013771406024996817,0.6219385268949505,0.01429584327316824,0.6399090909090909,0.009525520310727507,0.02148699516561751,0.012867452730607576,0.0192668884594697,0.01776410424119422,edge_adder_pokec_n_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.00018232571507056315,pokec_n,gin,EA Defense
0.7283323238641818,0.0062351403401877,0.6674695243313007,0.0064972538998866,0.6646818181818183,0.0120296637491392,0.0209167117234475,0.0232591597470297,0.0236213319521087,0.0247456549756659,vanilla_pokec_n_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.002106183402786513,pokec_n,sage,no_attack
0.6718708524884243,0.0211390882803135,0.6526093663363056,0.0229922419787227,0.6120909090909091,0.0159508542738661,0.272227373791988,0.1907131255255415,0.2258190728529593,0.1625105295234415,vanilla_pokec_n_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.002106183402786513,pokec_n,sage,tuned_nifa
0.7315887720552461,0.008747555403002859,0.6614085617837046,0.00806293942913374,0.6621818181818182,0.009786565255702937,0.018366731380343664,0.011900077362642382,0.02444090284279935,0.02384707169168766,edge_adder_pokec_n_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.00032500959921404646,pokec_n,sage,EA Defense
0.7568130065963017,0.0008861048399246,0.6694475483435286,0.0122515813391127,0.6990000000000001,0.011270160998212,0.0154982252764338,0.0068607318735092,0.0308894953881706,0.0064339030845008,vanilla_pokec_n_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.010611927763057845,pokec_n,sgc,no_attack
0.7068477588129968,0.023264750281396,0.6529235860648851,0.0198227004946367,0.6578636363636363,0.015097547827817,0.3102636078481908,0.1339950963018577,0.3071028149092575,0.1421057575623286,vanilla_pokec_n_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.010611927763057845,pokec_n,sgc,tuned_nifa
0.7463722822939112,0.003728498455090841,0.6550451114846885,0.010396165011968259,0.6929545454545455,0.017919989761655868,0.04169082924087028,0.02759019492262783,0.062332011873219496,0.032287933320261926,edge_adder_pokec_n_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0020289278881684258,pokec_n,sgc,EA Defense
0.7874179375620182,0.003811891381077,0.6916895803784239,0.0240348843546601,0.7123928293063133,0.0080548780562829,0.0415138194672362,0.0100908767083127,0.0345142857142857,0.0123167713765766,vanilla_pokec_z_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0038518302623594828,pokec_z,gat,no_attack
0.6896936111747195,0.0352057882355659,0.6327780804593959,0.0417192466736696,0.6471940763834763,0.023890339071951,0.4855091977337903,0.0939321654759117,0.4291714285714286,0.1129482055760831,vanilla_pokec_z_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0038518302623594828,pokec_z,gat,tuned_nifa
