dataset,encoder,attack_mode,AUC_mean_clean,AUC_mean_attacked,AUC_mean_defended,F1_mean_clean,F1_mean_attacked,F1_mean_defended,DP_mean_clean,DP_mean_attacked,DP_mean_defended,EO_mean_clean,EO_mean_attacked,EO_mean_defended
nba,gat,uncertainty,0.6394871794871795,0.6505769230769232,0.6433974358974359,0.590631429891868,0.6384537727709338,0.6220102574005264,0.1383572567783094,0.1175438596491228,0.0778309409888357,0.2133333333333333,0.1566666666666666,0.1833333333333333
nba,gcn,degree,0.6726282051282052,0.6693589743589744,0.6712179487179488,0.6028538914465907,0.597263542207106,0.6165903134188025,0.3,0.3893141945773525,0.4787081339712918,0.2799999999999999,0.37,0.43
nba,gcn,uncertainty,0.6726282051282052,0.6755128205128205,0.6826923076923077,0.6028538914465907,0.5970617774499754,0.6196455261712711,0.3,0.3389154704944178,0.3562998405103668,0.2799999999999999,0.2766666666666666,0.31
nba,gin,degree,0.6063461538461539,0.5817948717948718,0.6095512820512821,0.57492207270038,0.4946278982425614,0.5623550298709457,0.0854066985645933,0.0814194577352472,0.0664274322169059,0.1566666666666666,0.1166666666666666,0.1433333333333333
nba,gin,uncertainty,0.6063461538461539,0.5877564102564102,0.5700641025641026,0.57492207270038,0.5002683927982048,0.4060725276015974,0.0854066985645933,0.0827751196172249,0.0527113237639553,0.1566666666666666,0.1033333333333333,0.12
nba,sage,degree,0.6378846153846154,0.6311538461538462,0.6392948717948718,0.5751761734175085,0.5323641192231129,0.5550350739242541,0.069377990430622,0.0761562998405103,0.0627591706539075,0.0566666666666666,0.1233333333333333,0.0733333333333333
nba,sage,uncertainty,0.6378846153846154,0.6315384615384615,0.6472115384615384,0.5751761734175085,0.5538704048582498,0.5749701792897626,0.069377990430622,0.0700956937799043,0.0432216905901116,0.0566666666666666,0.0799999999999999,0.06
nba,sgc,degree,0.6825641025641026,0.6651923076923076,0.6662820512820513,0.5794754751968985,0.5573941537502453,0.620619454194561,0.2923444976076556,0.3859649122807017,0.4769537480063796,0.1866666666666666,0.2766666666666666,0.37
nba,sgc,uncertainty,0.6825641025641026,0.6896153846153846,0.6794871794871795,0.5794754751968985,0.603861217183499,0.6271624213469564,0.2923444976076556,0.3038277511961723,0.3767942583732057,0.1866666666666666,0.2033333333333333,0.2666666666666667
pokec_n,gat,degree,0.7556281214937497,0.7522355190822767,0.749819660818365,0.672946344310918,0.6524701159435797,0.6681201904600361,0.0111038584479363,0.0161517120176006,0.0217385660831229,0.0112703946450983,0.0319413510767575,0.027668585772058
pokec_n,gat,uncertainty,0.7556281214937497,0.7509871284408831,0.7524502795071143,0.672946344310918,0.6638167652739554,0.661489008313265,0.0111038584479363,0.0162979481188677,0.0278174495340708,0.0112703946450983,0.0319062892204713,0.0242667888519234
